cluster_80_id	SRR6451254	SRR6451255	SRR6451256	SRR6451257	SRR6451258	SRR6451259	SRR6451260	SRR6451261	SRR6451662	SRR6451663	SRR6451664	SRR6451665	SRR6451666	SRR6451667	SRR6451668	SRR6451669	SRR6451670	SRR6451671	SRR6451672	SRR6451673	SRR6451674	SRR6451675	SRR6451676	SRR6451677	SRR6451678	SRR6451679	SRR6451680	SRR6451681	SRR6451682	SRR6451683	SRR6451684	SRR6451685	SRR6451686	SRR6451687	SRR6451688	SRR6451689	SRR6451690	SRR6451691	SRR6451692	SRR6456128	SRR6456129	SRR6456130	SRR6456131	SRR6456132	SRR6456134	SRR6456135	SRR6456136	SRR6456137	SRR6456138	SRR6456139	SRR6456140	SRR6456141	SRR6456142	SRR6456143	SRR6456144	SRR6456145	SRR6456146	SRR6456147	SRR6456148	SRR6456149	SRR6456150	SRR6456151	SRR6456152	SRR6456153	SRR6456154	SRR6456155	SRR6456156	SRR6456157	SRR6456158	SRR6456159	SRR6456160	SRR6456161	SRR6456162	SRR6456163	SRR6456164	SRR6456165	SRR6456166	SRR6456167	SRR6456168	SRR6456169	SRR6456170	SRR6456171	SRR6456172	SRR6456173	SRR6456174	SRR6456175	SRR6456176	SRR6456177	SRR6456178	SRR6456179	SRR6456180	SRR6456181	SRR6456182	SRR6456183	SRR6456184	SRR6456185	SRR6456186	SRR6456187	SRR6456188	SRR6456189	SRR6456191	SRR6456192	SRR6456193	SRR6456194	SRR6456195	SRR6456196	SRR6456197	SRR6456198	SRR6456200	SRR6456201	SRR6456202	SRR6456203	SRR6456204	SRR6456205	SRR6456206	SRR6456207	SRR6456208	SRR6456209	SRR6456210	SRR6456211	SRR6456212	SRR6456213	SRR6456214	SRR6456215	SRR6456216	SRR6456217	SRR6456218	SRR6456219	SRR6456220	SRR6456221	SRR6456222	SRR6456223	SRR6456224	SRR6456225	SRR6456226	SRR6456227	SRR6456228	SRR6456229	SRR6456230	SRR6456231	SRR6456232	SRR6456233	SRR6456234	SRR6456235	SRR6456236	SRR6456237	SRR6456238	SRR6456239	SRR6456240	SRR6456241	SRR6456242	SRR6456243	SRR6456244	SRR6456245	SRR6456246	SRR6456247	SRR6456248	SRR6456249	SRR6456250	SRR6456251	SRR6456252	SRR6456253	SRR6456254	SRR6456255	SRR6456352	SRR6456353	SRR6456354	SRR6456356	SRR6456357	SRR6456358	SRR6456359	SRR6456360	SRR6456361	SRR6456362	SRR6456363	SRR6456364	SRR6456365	SRR6456366	SRR6456368	SRR6456369	SRR6456370	SRR6456371	SRR6456372	SRR6456373	SRR6456374	SRR6456375	SRR6456376	SRR6456377	SRR6451262	SRR6456133	SRR6456190	SRR6456199	SRR6456355	SRR6456367
GCF_019249655.2_00258	0.979595	2.281315	1.911312	0.0	3.655596	3.30085	2.24336	0.0	0.0	2103.879369	0.0	1.71098	2.311627	1.642466	0.0	0.0	663.718629	0.0	129.406199	0.560982	1.155205	0.0	5.508017	1.47932	2.456037	0.000293	1.471196	4.60501	0.541255	0.356018	0.001664	27.230965	2.379606	2.056707	0.0	0.0	0.0	0.0	2.190804	0.0	0.012233	1.544035	1.557673	76.108353	1.587543	1.179793	1.769108	2.750254	0.0	2.683763	3.977203	0.0	0.0	3.12192	34.375529	0.012617	2.222997	1.135028	3.04551	0.0	1.831431	900.66363	5.315322	1.636897	2.901725	1.421996	1.17247	5.727992	1.792456	0.0	0.012967	2.57782	2.741292	2.071402	2.60384	3.057463	0.009183	1.026413	3.020992	1.40429	108.262964	3.49038	0.96145	0.015026	5.442432	3.090996	63.485841	3.074922	3.584533	2.84325	56.170645	2.079318	2.54447	0.0	1.078013	5.008503	0.0	3.745657	2.774708	1.408562	2.733947	4.348918	7.606852	1.37589	3.541399	2.937927	0.0	0.0	0.0	0.0	0.0	0.0	2.340768	7.080652	91.412662	2.803868	118.140276	0.0	0.001045	0.0	6.972067	0.0	1.867321	0.0	0.0	0.460087	19.522847	2.531106	438.316787	0.0	2.316212	13.54456	38.092957	2.362241	8.839511	3.384134	1.158294	0.00077	2.635372	0.0	3.809494	0.0	0.01614	1.314965	0.0	0.0	208.852194	1.216873	6.393775	3.531344	0.0	0.018139	1.167172	0.0	4.376856	3.970829	1.925456	3.48145	707.126769	2.449017	1.190122	4.196272	3.888692	2.461889	1.651624	1.506763	1.530758	1.628949	65.116953	52.141506	2.656898	1.779891	2.110352	1.083701	2.04812	2.157171	0.0	0.0	1.56551	1.760034	2.291426	1.160839	1.145045	1.873875	0.0	1.25997	258.254692	0.021891	0.0	0.0	0.0	0.0	0.0	0.0
GCF_019249655.2_01809	2.938815	1.469389	1.317922	0.0	3.666847	1.253791	1.562561	0.0	0.0	3249.554652	0.0	0.776259	1.686024	1.280683	0.0	0.0	500.338689	0.0	113.993849	0.210861	0.250267	0.0	4.895061	1.298584	3.329291	0.000823	0.000165	9.090546	2.13776	2.166391	0.794181	1.144447	1.105265	1.520578	0.0	0.0	0.0	0.0	2.870099	0.0	1.66562	1.702354	2.879132	1.454882	3.633229	2.681728	1.116973	2.918082	0.0	2.912323	0.069233	0.0	0.0	4.402783	10.981423	0.008748	3.454144	0.933706	2.292621	0.0	4.134873	148.359073	5.424306	417.907235	3.95843	2.031514	1.0421	5199.000202	4.479009	0.0	0.003647	1.742296	0.026606	1.193937	0.836097	0.117447	0.00517	2.595308	175.205678	0.485927	9.148458	1513.485764	0.602861	0.008327	7.492217	1.991972	117.685492	45.537254	1.313792	40.768782	1.502701	0.742605	186.24753	0.0	0.005637	0.00744	0.0	102.100326	1.583542	0.082632	4.68701	2.393471	11.804889	2.995444	9.341659	3.120052	0.0	0.0	0.0	0.0	0.0	0.0	0.0	145.288525	0.450728	11.566505	271.942668	0.0	0.000289	0.0	981.371461	0.0	0.134792	0.0	0.0	1.949704	1.79976	1.548278	190.188442	0.0	1.519204	0.395706	0.930438	1.165959	170.886766	6.851924	0.818712	0.000354	6.557777	0.0	3.024776	0.0	0.007692	1.873385	0.0	0.0	100.187736	1.419862	1.093834	3.193652	0.0	0.323349	1.302759	0.0	3.466829	4.690592	2.162264	1.929054	663.038998	3.282562	0.108712	1.220739	2.108105	0.759258	3.421954	0.482718	1.313512	1.057406	2.088529	2.065102	0.011197	356.400688	233.604448	7.639439	2.729618	3.140013	0.0	0.0	1.836911	3.40461	2.858987	1.643904	0.25112	97.877981	0.0	14.409182	217.309949	0.358347	0.0	0.0	0.0	0.0	0.0	0.0
GCF_020735445.1_00533	8.064379	3.486079	2.714119	0.0	20.665434	2.970687	3.610393	0.0	0.0	18.103186	0.0	3.057584	4.92896	2.27865	0.0	0.0	111.052023	0.0	341.793683	2.960448	3.635512	0.0	9.662228	1.876669	8.367771	2.933351	2.552374	2.837747	2.92964	3.215198	2.66814	3.082158	6.055105	3.205489	0.0	0.0	0.0	0.0	6.891739	2.8663	2.828442	2.686877	2.232574	1.971175	2.63886	3.407052	2.896465	4.26899	0.0	5.06529	4.409558	0.0	0.0	4.872095	30.390895	2.739661	2.940223	2.790229	4.978774	0.0	0.995586	3.248418	5.43473	11.264953	4.305053	2.28547	2.565475	49.90786	3.011681	0.0	2.861373	4.756589	3.048511	3.930022	4.20066	3.04247	2.900778	2.488405	17.965271	3.523181	8.799013	6.807574	2.361701	4.967978	9.03978	4.717937	6.334343	6.390463	2.892359	400.603009	4.110788	5.930715	4.834029	0.0	2.205612	4.057976	0.0	2.507434	4.657841	3.031212	3.732055	3.557981	15.021919	5.126145	9.151234	2.727041	0.0	0.0	0.0	0.0	0.0	0.0	3.962413	5.309665	3.57844	2.697112	382.034971	0.0	3.064302	0.0	4.341756	0.0	2.338663	0.0	0.0	2.712752	3.544948	3.355128	9.467071	0.0	3.742571	18.220067	3.769525	3.581645	420.551347	16.506073	4.774718	2.830535	4.822184	0.0	3.893147	0.0	3.053421	2.90658	0.0	0.0	5.159634	2.105174	8.632801	4.235221	0.0	7.710454	2.390279	0.0	8.272873	5.011233	3.515665	3.691033	8.165009	6.987803	5.663956	5.396681	6.115398	6.40089	5.293955	2.026931	2.672733	3.097203	2.214226	10.069965	3.63425	3.26589	3.447704	3.713671	6.285458	7.697781	0.0	0.0	5.449017	2.88671	3.11637	2.546077	2.663605	4.183097	0.0	5.04027	4.989549	3.281477	0.0	0.0	0.0	0.0	0.0	0.0
GCF_019249655.2_02929	4.168218	1.92247	1.404672	0.0	3.061004	1.627487	1.97886	0.0	0.0	2.358455	0.0	1.570888	2.517375	1.6396	0.0	0.0	48.24012	0.0	169.396703	1.494604	1.869252	0.0	5.012617	0.437736	4.660614	1.553531	1.459722	1.632793	1.653661	1.7354	1.249245	1.267673	1.094338	1.311369	0.0	0.0	0.0	0.0	1.635318	1.488689	1.607405	1.424294	1.416834	1.13487	1.548901	1.751029	1.695148	2.123685	0.0	2.835498	2.375136	0.0	0.0	1.518893	15.660343	1.360785	2.567817	1.660191	1.128205	0.0	2.906372	0.96007	2.347333	1.683524	2.975774	1.49434	1.616547	4.91607	1.765699	0.0	1.434265	2.238219	1.534473	1.826171	2.441408	1.616579	1.568169	1.752776	3.266058	0.954205	1.614454	3.483409	1.435596	2.468224	3.807474	2.800605	2.949498	2.506764	1.575605	187.579305	2.501891	2.798688	1.993615	0.0	1.347686	1.925519	0.0	0.973447	2.298338	1.630705	1.981572	1.775809	7.921118	2.805747	4.262882	1.497585	0.0	0.0	0.0	0.0	0.0	0.0	2.110525	1.254545	1.875483	1.509658	184.994401	0.0	1.654885	0.0	3.342315	0.0	2.836501	0.0	0.0	1.432031	1.580782	1.933466	3.076325	0.0	1.868407	8.406505	1.580119	1.662595	216.129669	4.17706	2.67511	1.617324	2.614858	0.0	2.136475	0.0	1.330996	1.631712	0.0	0.0	2.656546	0.881088	5.039186	2.297207	0.0	3.699489	1.306294	0.0	4.856829	4.173814	1.414172	1.962268	1.819821	1.015297	1.744864	2.761706	3.083447	3.11869	3.668483	1.132385	0.894343	1.543832	1.572771	2.620576	2.102831	1.682038	1.489966	1.415498	4.034382	1.60868	0.0	0.0	2.641823	1.464966	1.846764	2.286099	1.50013	2.570512	0.0	1.596287	1.314627	1.59207	0.0	0.0	0.0	0.0	0.0	0.0
GCF_020735445.1_00331	6.523745	1.734381	1.355212	0.0	12.275526	1.505391	1.822562	0.0	0.0	2.27023	0.0	1.404586	2.536049	1.02795	0.0	0.0	43.306035	0.0	162.879413	1.582933	1.79041	0.0	5.314805	1.80135	1.890469	1.46925	1.478091	1.685805	1.613322	1.759796	1.428676	1.987157	1.810686	1.388286	0.0	0.0	0.0	0.0	2.141178	1.456216	1.545931	1.53075	0.881791	0.987924	1.495339	1.897457	1.624895	2.158987	0.0	0.751546	2.0674	0.0	0.0	2.054296	12.461477	1.322899	2.235287	1.574211	0.846736	0.0	1.996927	1.742545	2.480195	1.274645	3.487357	1.70493	1.579677	3.191538	1.738676	0.0	1.42595	1.694167	1.477982	1.925	1.69948	1.659513	1.51641	1.583298	2.871155	0.949385	1.63247	4.448704	1.747211	2.52734	4.132691	2.486561	2.760737	2.717571	1.470886	284.470617	1.783677	2.560392	2.458919	0.0	1.34602	1.872829	0.0	1.500146	2.315754	1.684392	1.981993	1.798308	8.091704	2.914035	2.529994	1.403063	0.0	0.0	0.0	0.0	0.0	0.0	2.06933	1.957072	2.139042	1.548426	187.527684	0.0	1.666731	0.0	1.956406	0.0	1.150718	0.0	0.0	1.568039	1.542378	1.613572	2.741965	0.0	1.817995	8.610192	2.262163	2.155839	213.33218	6.002534	4.900405	1.613921	3.981323	0.0	2.330979	0.0	1.681097	1.643905	0.0	0.0	5.817527	1.19817	4.019971	2.7226	0.0	3.541213	1.292233	0.0	3.039364	3.193467	1.298703	1.908664	2.18722	2.673963	1.668703	4.079104	3.053605	2.986163	2.931549	1.314585	1.466181	1.586905	0.898972	3.909209	2.023877	1.897102	2.037106	1.568216	3.795665	4.40203	0.0	0.0	2.626933	1.515295	1.177731	0.936274	1.715367	2.649107	0.0	1.074064	0.408664	1.632755	0.0	0.0	0.0	0.0	0.0	0.0
GCF_019249655.2_03007	222.045423	1.98156	1.723948	0.0	1.63118	1.428261	0.658655	0.0	0.0	677.228598	0.0	3.588573	1.406555	1.667688	0.0	0.0	97.358044	0.0	138.797042	0.009295	1.454986	0.0	8.896474	0.952506	1.301206	0.547788	0.000229	4.629201	0.641385	2.015213	1.977928	2.852513	0.956762	1.83592	0.0	0.0	0.0	0.0	1.524424	0.0	0.279264	1.42898	1.395869	0.58378	3.105196	1.034149	1.091518	4.606737	0.0	2.673447	2.242419	0.0	0.0	2.538209	2.926229	0.003433	5.575391	0.70079	1.830669	0.0	0.677602	2.64285	1.303255	1.78312	1.52191	2.049527	1.785985	4.519346	3.34644	0.0	0.019851	1.913058	2.178654	1.511156	2.254306	3.133891	0.010315	0.930176	3.036791	0.590131	1.099023	0.0	1.388145	0.011314	4.402382	2.350933	15.059829	2.890064	1.055868	1.582183	1.601843	4.262195	1.787193	0.0	2.739818	3.901464	0.0	1.521893	5.146786	0.794067	3.515008	2.54185	8.513294	1.974898	8.799205	2.242545	0.0	0.0	0.0	0.0	0.0	0.0	2.338437	156.476997	18.770241	1.658271	35.536785	0.0	0.001145	0.0	2.853371	0.0	0.778964	0.0	0.0	0.469868	6.566588	1.526518	209.150551	0.0	2.02125	8.369017	35.558322	1.862032	450.609333	10.950408	1.195138	0.000435	3.786739	0.0	5.313521	0.0	0.000793	1.806378	0.0	0.0	4.145985	1.105037	4.881844	3.52718	0.0	0.804193	1.471539	0.0	7.607512	3.713197	0.806276	1.998501	401.046395	0.56046	1.43714	2.494618	3.607351	3.599865	2.236937	1.031488	1.09562	0.425414	0.325611	1.506423	0.75779	1.588316	0.949803	0.424467	3.499437	2.570212	0.0	0.0	1.546536	0.324334	0.959371	1.128218	3.365043	2.085801	0.0	1.142777	55.609229	2.162228	0.0	0.0	0.0	0.0	0.0	0.0
GCF_019249655.2_00530	8.01424	2.752872	2.461443	0.0	3.060324	2.671341	3.371544	0.0	0.0	4.811716	0.0	2.717255	3.557579	2.685933	0.0	0.0	77.978867	0.0	227.211444	2.828513	2.775216	0.0	9.490733	2.808766	5.019178	2.078643	2.467601	2.87082	2.921917	2.868754	2.449803	3.125792	4.565553	2.33639	0.0	0.0	0.0	0.0	3.250033	2.495107	2.686266	2.345894	1.720472	0.986529	2.517323	3.409883	2.653854	3.196838	0.0	4.088403	3.488991	0.0	0.0	4.04459	17.531836	2.706643	7.201623	2.455758	2.964276	0.0	2.939228	1.813438	2.960619	2.095342	3.839029	4.597256	2.854306	7.47418	3.279992	0.0	2.519966	3.633015	2.644144	2.862108	3.314006	2.729435	2.209335	1.89169	3.707454	2.59714	1.905967	3.793576	2.075869	3.749864	5.720031	3.075643	4.551977	4.607629	2.534709	47.038159	3.293307	3.904302	3.037642	0.0	2.215692	2.951531	0.0	4.415224	3.290835	2.602809	2.909092	2.639981	3.117188	3.824894	4.86372	2.49363	0.0	0.0	0.0	0.0	0.0	0.0	2.447924	2.753979	2.564019	2.602374	237.789679	0.0	2.277824	0.0	1.913106	0.0	2.498742	0.0	0.0	2.644716	2.532627	2.838863	3.479538	0.0	1.963125	12.414297	2.702339	3.695987	288.007929	20.650323	3.454704	2.260673	2.209425	0.0	2.758221	0.0	2.262695	2.707143	0.0	0.0	4.733638	2.295329	7.430043	2.195722	0.0	4.773671	2.513662	0.0	5.552018	4.209921	1.672054	3.022908	4.117119	3.464103	4.832804	1.738812	4.383686	2.48621	4.380641	2.357616	2.615982	2.640898	2.329145	4.845636	3.365472	3.481127	2.626821	2.732173	11.04581	6.108553	0.0	0.0	3.769454	2.49683	2.479508	2.01708	2.374288	2.194701	0.0	3.291638	2.515847	2.765536	0.0	0.0	0.0	0.0	0.0	0.0
GCF_019249655.2_00256	3.296998	2.324195	1.831126	0.0	4.125134	2.423214	3.485261	0.0	0.0	1772.33983	0.0	1.529796	3.315372	1.217209	0.0	0.0	691.349912	0.0	131.017252	0.434854	0.949683	0.0	7.579185	0.525	1.452379	0.000186	1.097272	3.612843	0.483985	0.41598	0.002557	21.111546	1.692591	1.782639	0.0	0.0	0.0	0.0	2.193754	0.0	0.010623	1.642361	2.607438	71.61524	1.365753	0.134281	1.592204	2.701485	0.0	1.401587	3.549965	0.0	0.0	0.852958	32.426673	0.006956	0.0	1.063921	1.784282	0.0	2.403173	829.150347	4.107921	3.076413	1.782635	2.044047	1.113324	4.468943	1.626034	0.0	0.0	1.985083	2.537248	1.9943	2.053819	2.418382	0.010136	0.844877	1.071728	1.820239	106.767429	0.876874	0.667786	0.017261	11.389052	3.392285	54.962389	4.10387	3.255503	2.675901	48.459353	2.041496	3.159264	0.0	0.915956	4.449405	0.0	3.643522	2.234287	1.266196	2.257712	3.719688	8.588499	1.285002	8.373994	2.451318	0.0	0.0	0.0	0.0	0.0	0.0	2.702856	5.28704	75.135258	2.482537	122.316037	0.0	0.001588	0.0	6.051014	0.0	1.476648	0.0	0.0	0.437913	18.914047	1.945943	372.708951	0.0	2.686491	13.405079	28.688475	2.225228	132.455249	6.883435	1.299855	0.000805	2.545397	0.0	3.572343	0.0	0.011434	1.616694	0.0	0.0	162.38877	1.313076	10.528361	2.878219	0.0	0.014429	1.057259	0.0	5.818408	6.207577	2.352679	2.649501	565.686699	2.643171	1.077318	1.884128	3.574453	2.942807	1.274603	1.468255	0.888717	1.598635	60.565808	57.577497	2.562959	1.601076	0.901633	0.841833	1.270953	2.058196	0.0	0.0	1.179149	1.52633	2.173732	2.091754	0.696837	1.465078	0.0	3.216204	240.427493	0.017556	0.0	0.0	0.0	0.0	0.0	0.0
GCF_019249655.2_02964	1.192834	1.77154	1.412956	0.0	2.024423	1.654391	1.90414	0.0	0.0	1.935484	0.0	1.334324	2.886358	1.365891	0.0	0.0	30.47781	0.0	168.876939	1.504504	1.859768	0.0	2.616897	1.031164	4.260208	1.49145	1.438603	1.677545	1.577632	1.716288	1.364459	1.646427	2.222498	1.567803	0.0	0.0	0.0	0.0	2.353811	1.798376	1.453888	1.377538	1.546534	1.496065	1.432155	1.53354	1.621477	2.184501	0.0	0.0	2.356411	0.0	0.0	2.152419	14.353008	1.412784	3.045938	1.609591	2.010644	0.0	1.699093	0.424609	2.723314	1.703012	1.960398	2.518606	1.537839	2.547653	1.764438	0.0	1.332239	2.095887	1.523059	2.286856	2.090161	1.639536	1.505125	0.998842	2.97814	1.806153	0.0	4.435279	0.670938	2.506531	4.230162	2.291636	2.940758	3.12004	1.442364	403.209926	2.103448	2.623687	2.645641	0.0	1.309666	1.931252	0.0	3.02051	2.296737	1.555051	1.933754	1.839908	6.602999	2.840803	2.527734	1.337769	0.0	0.0	0.0	0.0	0.0	0.0	2.188682	2.742647	1.825861	1.428332	188.106573	0.0	1.620317	0.0	1.758375	0.0	2.229825	0.0	0.0	1.46867	1.459568	2.138188	2.970692	0.0	1.511782	8.416012	1.566992	1.722705	218.511228	6.950028	4.372507	1.599436	2.056974	0.0	2.404729	0.0	1.501924	1.636703	0.0	0.0	3.109764	1.061496	4.04085	1.807563	0.0	4.014732	1.272419	0.0	5.340001	1.197963	1.5246	1.963461	2.297122	1.852495	2.51722	2.875644	3.012353	2.442839	3.802724	1.8891	1.107764	1.592987	1.19602	2.415135	1.992053	1.995592	1.857383	1.828317	3.069772	4.79298	0.0	0.0	2.647037	1.385646	1.936109	1.302263	1.3331	0.0	0.0	1.282637	1.052182	1.599152	0.0	0.0	0.0	0.0	0.0	0.0
GCF_019249655.2_00259	15.02102	1.66938	1.448279	0.0	3.126495	3.059081	1.468139	0.0	0.0	1079.215798	0.0	1.741933	2.222115	2.623557	0.0	0.0	548.058165	0.0	110.36124	6.445541	1.236006	0.0	13791.36689	215.841821	163.236064	0.000441	1.264789	12.656649	0.26865	0.333275	0.033056	49.560787	2.566215	1.307145	0.0	0.0	0.0	0.0	38.160771	0.026423	0.010804	1.470852	1.28348	0.0	0.000455	1.253739	1.513753	2.433579	0.0	3.099408	3.891052	0.0	0.0	216.163046	199.092872	0.659815	18.79758	0.002979	18.098278	0.0	4.664434	0.0	4.010391	423.784183	1.496216	1.278292	0.069763	168.459706	0.0	0.0	0.01195	53.490736	1.198236	1.876374	1.907865	2.610853	0.007547	1.934257	36.461979	1.833768	20.094693	19.747445	0.801167	0.00762	3.856972	2.92231	1.69839	3.02942	1.711004	29.514806	62.375361	0.854128	1.907447	0.0	1.2554	5.069274	0.0	3.479244	2.999621	1.968172	1.365536	4.959537	5.59467	1.394584	3.724615	2.674194	0.0	0.0	0.0	0.0	0.0	0.0	2.590937	8.250648	130.765291	21.81053	161.507971	0.0	0.000916	0.0	3.284184	0.0	2.815437	0.0	0.0	1.334108	20.694375	2.13668	404.78787	0.0	0.924511	10.88457	5.548807	1.845105	0.075782	5.7329	1.95868	0.000731	5.339886	0.0	4.400085	0.0	0.057227	1.931598	0.0	0.0	38.542003	352.315462	5.844126	5.029262	0.0	0.044334	2.046244	0.0	3.903718	3.379696	1.0563	3.475225	109.538913	2.16903	1.146469	8.865482	4.744332	8.277816	0.427046	1.183536	1.26301	1.657576	7.099443	22.148452	0.881025	762.94698	0.760348	1.843812	1.386621	5.0425	0.0	0.0	1.507403	2.611878	1.809512	4.477173	1.247613	1.091341	0.0	4.598694	175.352834	0.038766	0.0	0.0	0.0	0.0	0.0	0.0
