物种名	id	路径
Prevotella copri DSM 18205 strain FDAARGOS_1573	537011.437	https://www.bv-brc.org/view/Genome/537011.437
Bacteroides vulgatus ATCC 8482	435590.9	https://www.bv-brc.org/view/Genome/435590.9
Faecalibacterium prausnitzii M21/2	411485.10	https://www.bv-brc.org/view/Genome/411485.10
Bacteroides uniformis CL03T12C37	997890.6	https://www.bv-brc.org/view/Genome/997890.6
Alistipes putredinis DSM 17216	445970.5	https://www.bv-brc.org/view/Genome/445970.5
[Eubacterium] rectale VPI 0990	39491.2717	https://www.bv-brc.org/view/Genome/39491.2717
Ruminococcus bromii strain COPD257	40518.2677	https://www.bv-brc.org/view/Genome/40518.2677
Bacteroides dorei strain DSM 17855	357276.1035	https://www.bv-brc.org/view/Genome/357276.1035
Bifidobacterium adolescentis ATCC 15703	367928.6	https://www.bv-brc.org/view/Genome/367928.6
Collinsella aerofaciens ATCC 25986 strain JCM 10188	411903.30	https://www.bv-brc.org/view/Genome/411903.30
Escherichia coli O157:H7 str. Sakai	386585.154	https://www.bv-brc.org/view/Genome/386585.154
Bacteroides stercoris ATCC 43183	449673.7	https://www.bv-brc.org/view/Genome/449673.7
Roseburia faecis	301302.3	https://www.bv-brc.org/view/Genome/301302.3
Bacteroides plebeius DSM 17135	484018.6	https://www.bv-brc.org/view/Genome/484018.6
Bifidobacterium longum subsp. longum JCM 1217	565042.3	https://www.bv-brc.org/view/Genome/565042.3
Akkermansia muciniphila strain JCM 30893	239935.2189	https://www.bv-brc.org/view/Genome/239935.2189
Fusicatenibacter saccharivorans AM67-22ACA	1150298.2613	https://www.bv-brc.org/view/Genome/1150298.2613
Anaerostipes hadrus BA1	649756.3254	https://www.bv-brc.org/view/Genome/649756.3254
Parabacteroides distasonis strain APCS2/PD	823.3647	https://www.bv-brc.org/view/Genome/823.3647
[Eubacterium] eligens ATCC 27750	515620.21	https://www.bv-brc.org/view/Genome/515620.21
Bacteroides caccae CL03T12C61	997873.77	https://www.bv-brc.org/view/Genome/997873.77
Bacteroides ovatus strain ATCC 8483	28116.7	https://www.bv-brc.org/view/Genome/28116.7
Dorea longicatena DSM 13814	88431.1239	https://www.bv-brc.org/view/Genome/88431.1239
[Ruminococcus] torques strain AM22-16	33039.31	https://www.bv-brc.org/view/Genome/33039.31
Roseburia inulinivorans DSM 16841 strain FDAARGOS_1587 strain Not applicable	622312.45	https://www.bv-brc.org/view/Genome/622312.45
Parabacteroides merdae strain NCTC13052	46503.89	https://www.bv-brc.org/view/Genome/46503.89
Bacteroides thetaiotaomicron strain DSM 2079	818.1357	https://www.bv-brc.org/view/Genome/818.1357
Bacteroides fragilis NCTC 9343 strain ATCC 25285	272559.17	https://www.bv-brc.org/view/Genome/272559.17
Anaerobutyricum hallii strain EHAL	39488.252	https://www.bv-brc.org/view/Genome/39488.252
Barnesiella intestinihominis YIT 11860	742726.3	https://www.bv-brc.org/view/Genome/742726.3
Alistipes finegoldii TM12-21A	214856.2506	https://www.bv-brc.org/view/Genome/214856.2506
Ruminococcus bicirculans strain 80/3	1160721.7	https://www.bv-brc.org/view/Genome/1160721.7
Coprococcus comes ATCC 27758	470146.25	https://www.bv-brc.org/view/Genome/470146.25
Coprococcus eutactus ATCC 27759	33043.1681	https://www.bv-brc.org/view/Genome/33043.1681
Roseburia intestinalis L1-82	536231.75	https://www.bv-brc.org/view/Genome/536231.75
Lachnospira pectinoschiza strain M83	28052.1495	https://www.bv-brc.org/view/Genome/28052.1495
Bacteroides eggerthii strain DSM 20697	28111.542	https://www.bv-brc.org/view/Genome/28111.542
Butyrivibrio crossotus DSM 2876	45851.820	https://www.bv-brc.org/view/Genome/45851.820
Blautia wexlerae DSM 19850	1121115.15	https://www.bv-brc.org/view/Genome/1121115.15
[Ruminococcus] gnavus ATCC 29149	411470.47	https://www.bv-brc.org/view/Genome/411470.47
Prevotella stercorea DSM 18206	1002367.3	https://www.bv-brc.org/view/Genome/1002367.3
Blautia obeum ATCC 29174	411459.41	https://www.bv-brc.org/view/Genome/411459.41
Bifidobacterium bifidum strain CNCM I-4319	1681.979	https://www.bv-brc.org/view/Genome/1681.979
