contig_id	accession	genome_name	genome_id
GCF_020735445.1_1	CP085932	Prevotella copri DSM 18205 strain FDAARGOS_1573	537011.437
GCF_020735445.1_2	CP085933	Prevotella copri DSM 18205 strain FDAARGOS_1573	537011.437
GCF_020735445.1_3	CP085934	Prevotella copri DSM 18205 strain FDAARGOS_1573	537011.437
GCF_025151535.1_1	CP102288	Prevotella copri DSM 18205 strain FDAARGOS_1573	537011.437
GCF_019249655.2_1	CP137557	Prevotella copri DSM 18205 strain FDAARGOS_1573	537011.437
GCF_019249655.2_2	CP137558	Prevotella copri DSM 18205 strain FDAARGOS_1573	537011.437
GCF_000012825.1_1	NC_009614	Bacteroides vulgatus ATCC 8482	435590.9
GCF_047948285.1_1	CP181423	Bacteroides vulgatus ATCC 8482	435590.9
GCF_024759565.1_1	CP103197	Bacteroides vulgatus ATCC 8482	435590.9
GCF_024759565.1_2	CP103198	Bacteroides vulgatus ATCC 8482	435590.9
GCF_000154385.1_1	DS483503	Faecalibacterium prausnitzii M21/2	411485.1
GCF_000154385.1_2	DS483502	Faecalibacterium prausnitzii M21/2	411485.1
GCF_000154385.1_3	DS483501	Faecalibacterium prausnitzii M21/2	411485.1
GCF_000154385.1_4	DS483500	Faecalibacterium prausnitzii M21/2	411485.1
GCF_000154385.1_5	DS483499	Faecalibacterium prausnitzii M21/2	411485.1
GCF_000154385.1_6	DS483498	Faecalibacterium prausnitzii M21/2	411485.1
GCF_000154385.1_7	DS483497	Faecalibacterium prausnitzii M21/2	411485.1
GCF_000154385.1_8	DS483496	Faecalibacterium prausnitzii M21/2	411485.1
GCF_000154385.1_9	DS483495	Faecalibacterium prausnitzii M21/2	411485.1
GCF_000154385.1_10	DS483494	Faecalibacterium prausnitzii M21/2	411485.1
GCF_000154385.1_11	DS483493	Faecalibacterium prausnitzii M21/2	411485.1
GCF_000154385.1_12	DS483492	Faecalibacterium prausnitzii M21/2	411485.1
GCF_000154385.1_13	DS483491	Faecalibacterium prausnitzii M21/2	411485.1
GCF_000154385.1_14	DS483490	Faecalibacterium prausnitzii M21/2	411485.1
GCF_000154385.1_15	DS483489	Faecalibacterium prausnitzii M21/2	411485.1
GCF_000154385.1_16	DS483488	Faecalibacterium prausnitzii M21/2	411485.1
GCF_000154385.1_17	DS483487	Faecalibacterium prausnitzii M21/2	411485.1
GCF_000154385.1_18	DS483486	Faecalibacterium prausnitzii M21/2	411485.1
GCF_000154385.1_19	DS483485	Faecalibacterium prausnitzii M21/2	411485.1
GCF_000154385.1_20	DS483484	Faecalibacterium prausnitzii M21/2	411485.1
GCF_000154385.1_21	DS483483	Faecalibacterium prausnitzii M21/2	411485.1
GCF_000154385.1_22	DS483482	Faecalibacterium prausnitzii M21/2	411485.1
GCF_000154385.1_23	DS483481	Faecalibacterium prausnitzii M21/2	411485.1
GCF_000154385.1_24	DS483480	Faecalibacterium prausnitzii M21/2	411485.1
GCF_000154385.1_25	DS483479	Faecalibacterium prausnitzii M21/2	411485.1
GCF_040026365.1_1	CP157286	Faecalibacterium prausnitzii M21/2	411485.1
GCF_040059215.1_1	CP157369	Faecalibacterium prausnitzii M21/2	411485.1
GCF_044361425.1_1	CP129143	Bacteroides uniformis CL03T12C37	997890.6
GCF_025147485.1_1	CP102263	Bacteroides uniformis CL03T12C37	997890.6
GCF_018291785.1_1	CP072239	Bacteroides uniformis CL03T12C37	997890.6
GCF_018291785.1_2	CP072240	Bacteroides uniformis CL03T12C37	997890.6
GCF_018291785.1_3	CP072241	Bacteroides uniformis CL03T12C37	997890.6
GCF_000154465.1_1	DS499581	Alistipes putredinis DSM 17216	445970.5
GCF_000154465.1_2	DS499580	Alistipes putredinis DSM 17216	445970.5
GCF_000154465.1_3	DS499579	Alistipes putredinis DSM 17216	445970.5
GCF_000154465.1_4	DS499578	Alistipes putredinis DSM 17216	445970.5
GCF_000154465.1_5	DS499577	Alistipes putredinis DSM 17216	445970.5
GCF_000154465.1_6	DS499576	Alistipes putredinis DSM 17216	445970.5
