Site	genome_id	genome_name	accession	feature_type	patric_id	start	end	strand	gene	product	global_start	global_end
ADLE01000001:182930-182954-183130-183154	742726.3	Barnesiella intestinihominis YIT 11860	ADLE01000001	CDS	fig|742726.3.peg.150	183060	183209	+		hypothetical protein	183060	183209
ADLE01000001:406621-406636-406979-406994	742726.3	Barnesiella intestinihominis YIT 11860	ADLE01000001	CDS	fig|742726.3.peg.381	405882	407210	+		AmpG protein, beta-lactamase induction signal transducer	405882	407210
ADLE01000001:198042-198059-198221-198238	742726.3	Barnesiella intestinihominis YIT 11860	ADLE01000001	-1	-1	-1	-1	+	-1	-1	-1	-1
ADLE01000001:263937-263950-264056-264069	742726.3	Barnesiella intestinihominis YIT 11860	ADLE01000001	-1	-1	-1	-1	+	-1	-1	-1	-1
ADLE01000008:111712-111725-111995-112008	742726.3	Barnesiella intestinihominis YIT 11860	ADLE01000008	CDS	fig|742726.3.peg.1131	109699	112248	+		Protein O-GlcNAcase (EC 3.2.1.169)	1323849	1326398
ADLE01000008:333697-333718-334424-334445	742726.3	Barnesiella intestinihominis YIT 11860	ADLE01000008	CDS	fig|742726.3.peg.1329	333167	334450	+		Type I restriction-modification system, specificity subunit S	1547317	1548600
ADLE01000008:513878-513891-514209-514222	742726.3	Barnesiella intestinihominis YIT 11860	ADLE01000008	CDS	fig|742726.3.peg.1485	512671	514563	+		Putative sulfatase	1726821	1728713
ADLE01000014:72565-72579-72684-72698	742726.3	Barnesiella intestinihominis YIT 11860	ADLE01000014	-1	-1	-1	-1	+	-1	-1	-1	-1
ADLE01000014:133082-133095-133152-133165	742726.3	Barnesiella intestinihominis YIT 11860	ADLE01000014	CDS	fig|742726.3.peg.2020	132245	134557	-		Acylphosphate phosphohydrolase (EC 3.6.1.7) / [NiFe] hydrogenase metallocenter assembly protein HypF	2322992	2325304
ADLE01000014:58228-58242-58603-58617	742726.3	Barnesiella intestinihominis YIT 11860	ADLE01000014	CDS	fig|742726.3.peg.1953	57921	58925	-		Conjugative transposon protein TraJ	2248668	2249672
ADLE01000014:64997-65010-65336-65349	742726.3	Barnesiella intestinihominis YIT 11860	ADLE01000014	CDS	fig|742726.3.peg.1958	64992	65324	-		Conjugative transposon protein TraF	2255739	2256071
ADLE01000014:64997-65010-65336-65349	742726.3	Barnesiella intestinihominis YIT 11860	ADLE01000014	CDS	fig|742726.3.peg.1959	65335	65652	-		Conjugative transposon protein TraE	2256082	2256399
ADLE01000014:74058-74069-74273-74284	742726.3	Barnesiella intestinihominis YIT 11860	ADLE01000014	CDS	fig|742726.3.peg.1968	72704	75958	-		FIG00404088: hypothetical protein	2263451	2266705
ADLE01000014:87414-87428-87604-87618	742726.3	Barnesiella intestinihominis YIT 11860	ADLE01000014	CDS	fig|742726.3.peg.1976	85169	90985	-		Putative DNA methylase	2275916	2281732
AFZZ01000016:11282-11296-11472-11486	1002367.3	Prevotella stercorea DSM 18206	AFZZ01000016	CDS	fig|1002367.3.peg.54	7916	13732	+		Putative DNA methylase	71112	76928
AFZZ01000016:24616-24627-24831-24842	1002367.3	Prevotella stercorea DSM 18206	AFZZ01000016	CDS	fig|1002367.3.peg.61	22943	26197	+		FIG00404088: hypothetical protein	86139	89393
AFZZ01000016:33551-33564-33890-33903	1002367.3	Prevotella stercorea DSM 18206	AFZZ01000016	CDS	fig|1002367.3.peg.69	33249	33566	+		Conjugative transposon protein TraE	96445	96762
AFZZ01000016:33551-33564-33890-33903	1002367.3	Prevotella stercorea DSM 18206	AFZZ01000016	CDS	fig|1002367.3.peg.70	33577	33909	+		Conjugative transposon protein TraF	96773	97105
AFZZ01000036:1622-1637-1806-1821	1002367.3	Prevotella stercorea DSM 18206	AFZZ01000036	CDS	fig|1002367.3.peg.202	1172	2809	-		Bis-ABC ATPase YheS.2	262606	264243
AFZZ01000044:19087-19105-19156-19174	1002367.3	Prevotella stercorea DSM 18206	AFZZ01000044	-1	-1	-1	-1	+	-1	-1	-1	-1
AFZZ01000053:51410-51423-52026-52039	1002367.3	Prevotella stercorea DSM 18206	AFZZ01000053	CDS	fig|1002367.3.peg.382	51913	52032	+		hypothetical protein	474562	474681
AFZZ01000053:13877-13891-14026-14040	1002367.3	Prevotella stercorea DSM 18206	AFZZ01000053	-1	-1	-1	-1	+	-1	-1	-1	-1
AFZZ01000053:68273-68300-68465-68492	1002367.3	Prevotella stercorea DSM 18206	AFZZ01000053	-1	-1	-1	-1	+	-1	-1	-1	-1
AFZZ01000053:92037-92053-92173-92189	1002367.3	Prevotella stercorea DSM 18206	AFZZ01000053	-1	-1	-1	-1	+	-1	-1	-1	-1
AFZZ01000053:25163-25174-25272-25283	1002367.3	Prevotella stercorea DSM 18206	AFZZ01000053	CDS	fig|1002367.3.peg.351	25041	25247	-		hypothetical protein	447690	447896
AFZZ01000053:25163-25174-25272-25283	1002367.3	Prevotella stercorea DSM 18206	AFZZ01000053	CDS	fig|1002367.3.peg.352	25244	25513	-		Uncharacterized protein YneG	447893	448162
AFZZ01000053:42797-42812-43078-43093	1002367.3	Prevotella stercorea DSM 18206	AFZZ01000053	CDS	fig|1002367.3.peg.372	41319	42875	-		putative hemagglutinin	463968	465524
AFZZ01000053:42797-42812-43078-43093	1002367.3	Prevotella stercorea DSM 18206	AFZZ01000053	CDS	fig|1002367.3.peg.373	42880	45336	-		DNA mismatch repair protein MutS	465529	467985
AFZZ01000053:51410-51423-52026-52039	1002367.3	Prevotella stercorea DSM 18206	AFZZ01000053	CDS	fig|1002367.3.peg.381	50991	51926	-		hypothetical protein	473640	474575
AFZZ01000058:4055-4075-4142-4162	1002367.3	Prevotella stercorea DSM 18206	AFZZ01000058	-1	-1	-1	-1	+	-1	-1	-1	-1
AFZZ01000075:36581-36594-36870-36883	1002367.3	Prevotella stercorea DSM 18206	AFZZ01000075	CDS	fig|1002367.3.peg.653	35406	38006	-		hypothetical protein	816630	819230
AFZZ01000080:9462-9479-9557-9574	1002367.3	Prevotella stercorea DSM 18206	AFZZ01000080	-1	-1	-1	-1	+	-1	-1	-1	-1
AFZZ01000093:25726-25738-25814-25826	1002367.3	Prevotella stercorea DSM 18206	AFZZ01000093	CDS	fig|1002367.3.peg.839	24889	25842	+		hypothetical protein	1054533	1055486
AFZZ01000096:741-754-1054-1067	1002367.3	Prevotella stercorea DSM 18206	AFZZ01000096	-1	-1	-1	-1	+	-1	-1	-1	-1
AFZZ01000122:7267-7279-7372-7384	1002367.3	Prevotella stercorea DSM 18206	AFZZ01000122	-1	-1	-1	-1	+	-1	-1	-1	-1
AFZZ01000126:8061-8072-8531-8542	1002367.3	Prevotella stercorea DSM 18206	AFZZ01000126	CDS	fig|1002367.3.peg.1132	7721	8521	+		hypothetical protein	1425919	1426719
AFZZ01000128:1422-1438-1551-1567	1002367.3	Prevotella stercorea DSM 18206	AFZZ01000128	-1	-1	-1	-1	-	-1	-1	-1	-1
AFZZ01000166:717-747-818-848	1002367.3	Prevotella stercorea DSM 18206	AFZZ01000166	-1	-1	-1	-1	+	-1	-1	-1	-1
AFZZ01000171:4646-4665-4820-4839	1002367.3	Prevotella stercorea DSM 18206	AFZZ01000171	-1	-1	-1	-1	+	-1	-1	-1	-1
AFZZ01000179:11669-11692-11761-11784	1002367.3	Prevotella stercorea DSM 18206	AFZZ01000179	-1	-1	-1	-1	+	-1	-1	-1	-1
AFZZ01000189:6960-6976-7233-7249	1002367.3	Prevotella stercorea DSM 18206	AFZZ01000189	-1	-1	-1	-1	+	-1	-1	-1	-1
AFZZ01000199:18649-18676-18715-18742	1002367.3	Prevotella stercorea DSM 18206	AFZZ01000199	-1	-1	-1	-1	+	-1	-1	-1	-1
AFZZ01000201:16793-16804-16940-16951	1002367.3	Prevotella stercorea DSM 18206	AFZZ01000201	CDS	fig|1002367.3.peg.1940	16781	18184	-		Aminopeptidase C (EC 3.4.22.40)	2409116	2410519
AFZZ01000222:10646-10664-11111-11129	1002367.3	Prevotella stercorea DSM 18206	AFZZ01000222	CDS	fig|1002367.3.peg.2110	10720	11097	+		RidA/YER057c/UK114 superfamily protein	2622514	2622891
AFZZ01000251:6905-6916-7083-7094	1002367.3	Prevotella stercorea DSM 18206	AFZZ01000251	-1	-1	-1	-1	+	-1	-1	-1	-1
AFZZ01000258:8809-8822-9048-9061	1002367.3	Prevotella stercorea DSM 18206	AFZZ01000258	CDS	fig|1002367.3.peg.2422	6745	9864	+		RND efflux system, inner membrane transporter	3014729	3017848
AP021898:1185997-1186014-1186164-1186181	239935.2189	Akkermansia muciniphila strain JCM 30893	AP021898	CDS	fig|239935.2189.peg.1189	1186040	1186258	+		hypothetical protein	1186040	1186258
AP021898:1735929-1735949-1736184-1736204	239935.2189	Akkermansia muciniphila strain JCM 30893	AP021898	CDS	fig|239935.2189.peg.1713	1735922	1736146	+		hypothetical protein	1735922	1736146
AP021898:2117718-2117733-2117922-2117937	239935.2189	Akkermansia muciniphila strain JCM 30893	AP021898	CDS	fig|239935.2189.peg.2103	2117724	2117897	+		hypothetical protein	2117724	2117897
AP021898:2312530-2312545-2312684-2312699	239935.2189	Akkermansia muciniphila strain JCM 30893	AP021898	CDS	fig|239935.2189.peg.2261	2312523	2312651	+		hypothetical protein	2312523	2312651
AP021898:24602-24617-24848-24863	239935.2189	Akkermansia muciniphila strain JCM 30893	AP021898	CDS	fig|239935.2189.peg.16	24591	24833	+		hypothetical protein	24591	24833
AP021898:2586477-2586495-2586698-2586716	239935.2189	Akkermansia muciniphila strain JCM 30893	AP021898	CDS	fig|239935.2189.peg.2526	2586527	2586619	+		hypothetical protein	2586527	2586619
AP021898:578294-578311-578447-578464	239935.2189	Akkermansia muciniphila strain JCM 30893	AP021898	CDS	fig|239935.2189.peg.583	578283	578423	+		hypothetical protein	578283	578423
AP021898:1040689-1040706-1040855-1040872	239935.2189	Akkermansia muciniphila strain JCM 30893	AP021898	-1	-1	-1	-1	+	-1	-1	-1	-1
AP021898:1074407-1074424-1074640-1074657	239935.2189	Akkermansia muciniphila strain JCM 30893	AP021898	-1	-1	-1	-1	+	-1	-1	-1	-1
AP021898:1110732-1110749-1110901-1110918	239935.2189	Akkermansia muciniphila strain JCM 30893	AP021898	-1	-1	-1	-1	+	-1	-1	-1	-1
AP021898:2051477-2051495-2051631-2051649	239935.2189	Akkermansia muciniphila strain JCM 30893	AP021898	-1	-1	-1	-1	+	-1	-1	-1	-1
AP021898:2659269-2659284-2659434-2659449	239935.2189	Akkermansia muciniphila strain JCM 30893	AP021898	-1	-1	-1	-1	+	-1	-1	-1	-1
AP021898:2766279-2766291-2766441-2766453	239935.2189	Akkermansia muciniphila strain JCM 30893	AP021898	-1	-1	-1	-1	+	-1	-1	-1	-1
AP021898:866585-866602-866752-866769	239935.2189	Akkermansia muciniphila strain JCM 30893	AP021898	-1	-1	-1	-1	+	-1	-1	-1	-1
AP021898:1152352-1152365-1152547-1152560	239935.2189	Akkermansia muciniphila strain JCM 30893	AP021898	CDS	fig|239935.2189.peg.1156	1151807	1152472	-		Phosphoglycolate phosphatase	1151807	1152472
AP021898:1185997-1186014-1186164-1186181	239935.2189	Akkermansia muciniphila strain JCM 30893	AP021898	CDS	fig|239935.2189.peg.1188	1185225	1186022	-		hypothetical protein	1185225	1186022
AP021898:1237323-1237341-1237575-1237593	239935.2189	Akkermansia muciniphila strain JCM 30893	AP021898	CDS	fig|239935.2189.peg.1240	1237427	1237588	-		hypothetical protein	1237427	1237588
AP021898:1633871-1633886-1634158-1634173	239935.2189	Akkermansia muciniphila strain JCM 30893	AP021898	CDS	fig|239935.2189.peg.1626	1633879	1634088	-		hypothetical protein	1633879	1634088
AP021898:2267227-2267243-2267401-2267417	239935.2189	Akkermansia muciniphila strain JCM 30893	AP021898	CDS	fig|239935.2189.peg.2224	2267232	2267378	-		hypothetical protein	2267232	2267378
AP021898:2820511-2820526-2820782-2820797	239935.2189	Akkermansia muciniphila strain JCM 30893	AP021898	CDS	fig|239935.2189.peg.2752	2819808	2820536	-		hypothetical protein	2819808	2820536
AP021898:612404-612420-612561-612577	239935.2189	Akkermansia muciniphila strain JCM 30893	AP021898	CDS	fig|239935.2189.peg.617	612433	612561	-		hypothetical protein	612433	612561
BA000007:1834555-1834571-1834647-1834663	386585.154	Escherichia coli O157:H7 str. Sakai	BA000007	-1	-1	-1	-1	+	-1	-1	-1	-1
BA000007:1313636-1313648-1314155-1314167	386585.154	Escherichia coli O157:H7 str. Sakai	BA000007	CDS	fig|386585.154.peg.1298	1313133	1313828	-	rutB	Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB (EC 3.5.1.110)	1409160	1409855
BA000007:1313636-1313648-1314155-1314167	386585.154	Escherichia coli O157:H7 str. Sakai	BA000007	CDS	fig|386585.154.peg.1299	1313825	1314916	-	rutA	Pyrimidine monooxygenase RutA (EC 1.14.99.46)	1409852	1410943
BA000007:2277266-2277277-2277462-2277473	386585.154	Escherichia coli O157:H7 str. Sakai	BA000007	CDS	fig|386585.154.peg.2393	2276309	2277895	-	pntA	NAD(P) transhydrogenase N-domain of subunit alpha (EC 1.6.1.2) / NAD(P) transhydrogenase C-domain of subunit alpha (EC 1.6.1.2)	2372336	2373922
BA000007:4290050-4290063-4290343-4290356	386585.154	Escherichia coli O157:H7 str. Sakai	BA000007	CDS	fig|386585.154.peg.4470	4289703	4290806	-	asd	Aspartate-semialdehyde dehydrogenase (EC 1.2.1.11)	4385730	4386833
BA000007:4502731-4502745-4502967-4502981	386585.154	Escherichia coli O157:H7 str. Sakai	BA000007	CDS	fig|386585.154.peg.4679	4502683	4504074	-	selA	L-seryl-tRNA(Sec) selenium transferase (EC 2.9.1.1)	4598710	4600101
BA000007:72199-72210-72241-72252	386585.154	Escherichia coli O157:H7 str. Sakai	BA000007	CDS	fig|386585.154.peg.66	71682	73184	-	araA	L-arabinose isomerase (EC 5.3.1.4)	167709	169211
CP001104:423268-423282-423773-423787	515620.21	[Eubacterium] eligens ATCC 27750	CP001104	CDS	fig|515620.21.peg.381	423242	423580	+		hypothetical protein	423242	423580
CP001104:423268-423282-423773-423787	515620.21	[Eubacterium] eligens ATCC 27750	CP001104	CDS	fig|515620.21.peg.382	423610	424035	+		hypothetical protein	423610	424035
CP001104:436803-436827-437527-437551	515620.21	[Eubacterium] eligens ATCC 27750	CP001104	CDS	fig|515620.21.peg.399	436851	437414	+		Phage integrase	436851	437414
CP001104:1616450-1616472-1616724-1616746	515620.21	[Eubacterium] eligens ATCC 27750	CP001104	-1	-1	-1	-1	+	-1	-1	-1	-1
CP001104:1895987-1896017-1896051-1896081	515620.21	[Eubacterium] eligens ATCC 27750	CP001104	-1	-1	-1	-1	+	-1	-1	-1	-1
CP001106:6575-6586-6713-6724	515620.21	[Eubacterium] eligens ATCC 27750	CP001106	CDS	fig|515620.21.peg.2121	6395	6985	-		NAD(P)H nitroreductase (EC 1.-.-.-)	2211040	2211630
CP012938:1410308-1410334-1410568-1410594	28116.7	Bacteroides ovatus strain ATCC 8483	CP012938	CDS	fig|28116.7.peg.1198	1410418	1410513	+		hypothetical protein	1410418	1410513
CP012938:1964173-1964225-1964301-1964353	28116.7	Bacteroides ovatus strain ATCC 8483	CP012938	repeat_region	fig|28116.7.repeat.30	1964100	1964380	+		repeat region	1964100	1964380
CP012938:3752880-3752893-3753209-3753222	28116.7	Bacteroides ovatus strain ATCC 8483	CP012938	CDS	fig|28116.7.peg.3078	3753192	3754169	+	eglS	hypothetical protein	3753192	3754169
CP012938:4048307-4048318-4048489-4048500	28116.7	Bacteroides ovatus strain ATCC 8483	CP012938	CDS	fig|28116.7.peg.3255	4048447	4048656	+		hypothetical protein	4048447	4048656
CP012938:4048307-4048318-4048489-4048500	28116.7	Bacteroides ovatus strain ATCC 8483	CP012938	repeat_region	fig|28116.7.repeat.59	4048458	4048558	+		repeat region	4048458	4048558
CP012938:4496478-4496490-4496586-4496598	28116.7	Bacteroides ovatus strain ATCC 8483	CP012938	CDS	fig|28116.7.peg.3592	4496120	4499185	+	infB_1	Translation initiation factor 2	4496120	4499185
CP012938:4859713-4859759-4860238-4860284	28116.7	Bacteroides ovatus strain ATCC 8483	CP012938	CDS	fig|28116.7.peg.3839	4860142	4860264	+		hypothetical protein	4860142	4860264
CP012938:508310-508323-508367-508380	28116.7	Bacteroides ovatus strain ATCC 8483	CP012938	CDS	fig|28116.7.peg.427	508251	508793	+		hypothetical protein	508251	508793
CP012938:5164149-5164162-5164809-5164822	28116.7	Bacteroides ovatus strain ATCC 8483	CP012938	CDS	fig|28116.7.peg.4040	5164562	5164681	+		hypothetical protein	5164562	5164681
CP012938:5164149-5164162-5164809-5164822	28116.7	Bacteroides ovatus strain ATCC 8483	CP012938	CDS	fig|28116.7.peg.4041	5164755	5167976	+	carB_2	Carbamoyl-phosphate synthase large chain (EC 6.3.5.5)	5164755	5167976
CP012938:5343829-5343842-5344063-5344076	28116.7	Bacteroides ovatus strain ATCC 8483	CP012938	CDS	fig|28116.7.peg.4187	5343597	5344397	+		hypothetical protein	5343597	5344397
CP012938:6220735-6220748-6220821-6220834	28116.7	Bacteroides ovatus strain ATCC 8483	CP012938	CDS	fig|28116.7.peg.4898	6220701	6221339	+		hypothetical protein	6220701	6221339
CP012938:851298-851349-851427-851478	28116.7	Bacteroides ovatus strain ATCC 8483	CP012938	repeat_region	fig|28116.7.repeat.10	851281	851556	+		repeat region	851281	851556
CP012938:1113559-1113590-1113835-1113866	28116.7	Bacteroides ovatus strain ATCC 8483	CP012938	-1	-1	-1	-1	+	-1	-1	-1	-1
CP012938:1195056-1195086-1195133-1195163	28116.7	Bacteroides ovatus strain ATCC 8483	CP012938	-1	-1	-1	-1	+	-1	-1	-1	-1
CP012938:1670988-1671008-1671259-1671279	28116.7	Bacteroides ovatus strain ATCC 8483	CP012938	-1	-1	-1	-1	+	-1	-1	-1	-1
CP012938:2310968-2310985-2311253-2311270	28116.7	Bacteroides ovatus strain ATCC 8483	CP012938	-1	-1	-1	-1	+	-1	-1	-1	-1
CP012938:2380981-2381001-2381261-2381281	28116.7	Bacteroides ovatus strain ATCC 8483	CP012938	-1	-1	-1	-1	+	-1	-1	-1	-1
CP012938:2601662-2601684-2601723-2601745	28116.7	Bacteroides ovatus strain ATCC 8483	CP012938	-1	-1	-1	-1	+	-1	-1	-1	-1
CP012938:2756819-2756838-2757143-2757162	28116.7	Bacteroides ovatus strain ATCC 8483	CP012938	-1	-1	-1	-1	+	-1	-1	-1	-1
CP012938:2831493-2831518-2831552-2831577	28116.7	Bacteroides ovatus strain ATCC 8483	CP012938	-1	-1	-1	-1	+	-1	-1	-1	-1
CP012938:3025076-3025089-3025139-3025152	28116.7	Bacteroides ovatus strain ATCC 8483	CP012938	-1	-1	-1	-1	+	-1	-1	-1	-1
CP012938:4375129-4375151-4375191-4375213	28116.7	Bacteroides ovatus strain ATCC 8483	CP012938	-1	-1	-1	-1	+	-1	-1	-1	-1
CP012938:4437640-4437655-4437702-4437717	28116.7	Bacteroides ovatus strain ATCC 8483	CP012938	-1	-1	-1	-1	+	-1	-1	-1	-1
CP012938:4698368-4698388-4698447-4698467	28116.7	Bacteroides ovatus strain ATCC 8483	CP012938	-1	-1	-1	-1	+	-1	-1	-1	-1
CP012938:5376154-5376171-5376332-5376349	28116.7	Bacteroides ovatus strain ATCC 8483	CP012938	-1	-1	-1	-1	+	-1	-1	-1	-1
CP012938:5495271-5495303-5495347-5495379	28116.7	Bacteroides ovatus strain ATCC 8483	CP012938	-1	-1	-1	-1	+	-1	-1	-1	-1
CP012938:5530389-5530402-5530488-5530501	28116.7	Bacteroides ovatus strain ATCC 8483	CP012938	-1	-1	-1	-1	+	-1	-1	-1	-1
CP012938:1963919-1963962-1964015-1964058	28116.7	Bacteroides ovatus strain ATCC 8483	CP012938	CDS	fig|28116.7.peg.1647	1963925	1964062	-		hypothetical protein	1963925	1964062
CP012938:2089175-2089188-2089530-2089543	28116.7	Bacteroides ovatus strain ATCC 8483	CP012938	CDS	fig|28116.7.peg.1744	2087649	2089871	-	xynA	Endo-1,4-beta-xylanase (EC 3.2.1.8)	2087649	2089871
CP012938:3201828-3201841-3201936-3201949	28116.7	Bacteroides ovatus strain ATCC 8483	CP012938	CDS	fig|28116.7.peg.2632	3201106	3202662	-		hypothetical protein	3201106	3202662
CP012938:3752880-3752893-3753209-3753222	28116.7	Bacteroides ovatus strain ATCC 8483	CP012938	CDS	fig|28116.7.peg.3077	3752981	3753115	-		hypothetical protein	3752981	3753115
CP012938:4560247-4560258-4560528-4560539	28116.7	Bacteroides ovatus strain ATCC 8483	CP012938	CDS	fig|28116.7.peg.3640	4560033	4562159	-	spoVD_2	Cell division protein FtsI [Peptidoglycan synthetase] (EC 2.4.1.129)	4560033	4562159
CP012938:4793097-4793111-4793203-4793217	28116.7	Bacteroides ovatus strain ATCC 8483	CP012938	CDS	fig|28116.7.peg.3793	4790864	4793299	-		Putative large secreted protein SCO0341	4790864	4793299
CP012938:5164149-5164162-5164809-5164822	28116.7	Bacteroides ovatus strain ATCC 8483	CP012938	CDS	fig|28116.7.peg.4039	5163233	5164327	-	trpS2	Tryptophanyl-tRNA synthetase (EC 6.1.1.2)	5163233	5164327
CP012938:6249061-6249074-6249496-6249509	28116.7	Bacteroides ovatus strain ATCC 8483	CP012938	CDS	fig|28116.7.peg.4923	6248896	6249606	-		hypothetical protein	6248896	6249606
CP012938:6328632-6328649-6328833-6328850	28116.7	Bacteroides ovatus strain ATCC 8483	CP012938	CDS	fig|28116.7.peg.4972	6328721	6332245	-	todS_25	hypothetical protein	6328721	6332245
CP027002:1545412-1545423-1545689-1545700	411470.47	[Ruminococcus] gnavus ATCC 29149	CP027002	CDS	fig|411470.47.peg.1636	1545345	1545659	+		FIG00533143: hypothetical protein	1545345	1545659
CP027002:1885346-1885358-1885572-1885584	411470.47	[Ruminococcus] gnavus ATCC 29149	CP027002	CDS	fig|411470.47.peg.1973	1885061	1885747	+		hypothetical protein	1885061	1885747
CP027002:2557576-2557589-2557781-2557794	411470.47	[Ruminococcus] gnavus ATCC 29149	CP027002	CDS	fig|411470.47.peg.2625	2557537	2558574	+		AIR Synthase, TMP kinase, hydrogenase maturation protein HypE superfamily	2557537	2558574
CP027002:306041-306054-306140-306153	411470.47	[Ruminococcus] gnavus ATCC 29149	CP027002	CDS	fig|411470.47.peg.315	305535	306230	+		hypothetical protein	305535	306230
CP027002:3140685-3140696-3140827-3140838	411470.47	[Ruminococcus] gnavus ATCC 29149	CP027002	CDS	fig|411470.47.peg.3201	3140557	3141849	+		tRNA t(6)A37-methylthiotransferase (EC 2.8.4.5)	3140557	3141849
CP027002:3389783-3389796-3390187-3390200	411470.47	[Ruminococcus] gnavus ATCC 29149	CP027002	CDS	fig|411470.47.peg.3520	3389827	3392262	+		beta-glucosidase (EC 3.2.1.21)	3389827	3392262
CP027002:46177-46190-46419-46432	411470.47	[Ruminococcus] gnavus ATCC 29149	CP027002	CDS	fig|411470.47.peg.43	46174	47565	+		Phosphate regulon sensor protein PhoR (SphS) (EC 2.7.13.3)	46174	47565
CP027002:4888-4900-5060-5072	411470.47	[Ruminococcus] gnavus ATCC 29149	CP027002	repeat_region	fig|411470.47.repeat.1	1	7039	+		repeat region	1	7039
CP027002:512402-512422-512571-512591	411470.47	[Ruminococcus] gnavus ATCC 29149	CP027002	CDS	fig|411470.47.peg.558	512421	513884	+		hypothetical protein	512421	513884
CP027002:55928-55939-56029-56040	411470.47	[Ruminococcus] gnavus ATCC 29149	CP027002	CDS	fig|411470.47.peg.52	54024	55967	+		Type II restriction-modification system restriction subunit	54024	55967
CP027002:55928-55939-56029-56040	411470.47	[Ruminococcus] gnavus ATCC 29149	CP027002	CDS	fig|411470.47.peg.53	55967	57448	+		hypothetical protein	55967	57448
CP027002:627605-627617-627777-627789	411470.47	[Ruminococcus] gnavus ATCC 29149	CP027002	repeat_region	fig|411470.47.repeat.15	625639	632677	+		repeat region	625639	632677
