Site	genome_id	genome_name	accession	feature_type	patric_id	start	end	strand	gene	product	global_start	global_end
ADLE01000001:766412:-1	742726.3	Barnesiella intestinihominis YIT 11860	ADLE01000001	CDS	fig|742726.3.peg.686	766345	766488	-		hypothetical protein	766345	766488
ADLE01000008:95900:-1	742726.3	Barnesiella intestinihominis YIT 11860	ADLE01000008	-1	-1	-1	-1	+	-1	-1	-1	-1
ADLE01000008:493878:1	742726.3	Barnesiella intestinihominis YIT 11860	ADLE01000008	-1	-1	-1	-1	+	-1	-1	-1	-1
ADLE01000008:345356:-1	742726.3	Barnesiella intestinihominis YIT 11860	ADLE01000008	CDS	fig|742726.3.peg.1341	344928	345815	-		Mobilizable transposon, tnpC protein	1559078	1559965
ADLE01000014:30194:-1	742726.3	Barnesiella intestinihominis YIT 11860	ADLE01000014	CDS	fig|742726.3.peg.1916	28873	30195	+		hypothetical protein	2219620	2220942
ADLE01000014:110148:1	742726.3	Barnesiella intestinihominis YIT 11860	ADLE01000014	-1	-1	-1	-1	+	-1	-1	-1	-1
ADLE01000015:345358:1	742726.3	Barnesiella intestinihominis YIT 11860	ADLE01000015	-1	-1	-1	-1	+	-1	-1	-1	-1
ADLE01000017:93242:-1	742726.3	Barnesiella intestinihominis YIT 11860	ADLE01000017	-1	-1	-1	-1	+	-1	-1	-1	-1
AFZZ01000038:2707:-1	1002367.3	Prevotella stercorea DSM 18206	AFZZ01000038	-1	-1	-1	-1	+	-1	-1	-1	-1
AFZZ01000117:2816:-1	1002367.3	Prevotella stercorea DSM 18206	AFZZ01000117	-1	-1	-1	-1	+	-1	-1	-1	-1
AFZZ01000160:3873:-1	1002367.3	Prevotella stercorea DSM 18206	AFZZ01000160	-1	-1	-1	-1	+	-1	-1	-1	-1
AFZZ01000160:3880:1	1002367.3	Prevotella stercorea DSM 18206	AFZZ01000160	-1	-1	-1	-1	+	-1	-1	-1	-1
AFZZ01000163:10371:1	1002367.3	Prevotella stercorea DSM 18206	AFZZ01000163	CDS	fig|1002367.3.peg.1478	9621	10373	+		hypothetical protein	1844671	1845423
AFZZ01000175:288:-1	1002367.3	Prevotella stercorea DSM 18206	AFZZ01000175	-1	-1	-1	-1	-	-1	-1	-1	-1
AFZZ01000179:5646:-1	1002367.3	Prevotella stercorea DSM 18206	AFZZ01000179	CDS	fig|1002367.3.peg.1696	5535	5996	-		hypothetical protein	2102575	2103036
AFZZ01000181:14852:-1	1002367.3	Prevotella stercorea DSM 18206	AFZZ01000181	-1	-1	-1	-1	+	-1	-1	-1	-1
AFZZ01000222:6384:1	1002367.3	Prevotella stercorea DSM 18206	AFZZ01000222	-1	-1	-1	-1	+	-1	-1	-1	-1
AFZZ01000222:6386:-1	1002367.3	Prevotella stercorea DSM 18206	AFZZ01000222	-1	-1	-1	-1	+	-1	-1	-1	-1
AFZZ01000237:21582:-1	1002367.3	Prevotella stercorea DSM 18206	AFZZ01000237	CDS	fig|1002367.3.peg.2169	19309	21597	+		Alpha-1,2-mannosidase	2709632	2711920
AFZZ01000246:25962:-1	1002367.3	Prevotella stercorea DSM 18206	AFZZ01000246	-1	-1	-1	-1	+	-1	-1	-1	-1
BA000007:4834988:-1	386585.154	Escherichia coli O157:H7 str. Sakai	BA000007	repeat_region	fig|386585.154.repeat.181	4831412	4836964	+		repeat region	4927439	4932991
